url,title,locate,tag,numOfPeople,totalMoney,percentage,author,date
https://www.kaishiba.com/project/detail/id/7387CE0F98764854E050190AFD0172F2,把高级定制做到专利，难怪吴秀波也爱她,广州市,休闲,60,590001,1180.00,于士红,2018年08月29日
https://www.kaishiba.com/project/detail/id/70B672A6C87C3C84E050190AFD010C8C,百部影视剧取景地，大师们手工复原了百年前的豪宅,台州市,民宿,98,6850012,6850.01,赵舒佳,2018年08月28日
https://www.kaishiba.com/project/detail/id/72E59F7D9500F6BBE050190AFD010B26,撩你，有这一腿就够了，Sea Spa美腿馆再次来袭！,西安市,休闲,35,8050000,805000.00,雷雨,2018年08月24日
https://www.kaishiba.com/project/detail/id/71F3427C56BC1898E050190AFD01761F,十月里，给金秋一场甜甜的“蟹”逅,南京市,农业,10,28882,2888.20,李云珍,2018年08月24日
https://www.kaishiba.com/project/detail/id/72F9907BBF059B10E050190AFD010A69,这一袋地瓜干，红遍日本和韩国,龙岩市,农业,114,1720015,3440.03,钱师杰,2018年08月23日
https://www.kaishiba.com/project/detail/id/70DCE9884142AA04E050190AFD0156B5,挑战第14座8000米高峰，致敬平凡生活的英雄主义,日喀则市,休闲,326,96615,1932.30,刘震东,2018年08月23日
https://www.kaishiba.com/project/detail/id/725B6B87C61C26D7E050190AFD015891,「珠宝+咖啡」，轻奢主义者的生活空间,昆明市,休闲,110,1460003,1460.00,张淑娟,2018年08月22日
https://www.kaishiba.com/project/detail/id/72B31209D545A9F3E050190AFD0130D3,张艺谋作品《影》联名款，用一颗流心月饼震撼你的味蕾！,上海市,休闲,181,66229,1324.58,蒙莎,2018年08月22日
https://www.kaishiba.com/project/detail/id/73600071F3D81230E050190AFD017434,厦一站，在海边时光漫步,厦门市,民宿,65,1176051,1176.05,雷鑫,2018年08月21日
https://www.kaishiba.com/project/detail/id/726B69C8399D25A4E050190AFD012442,这只自带榫卯结构的马克杯，让喝水饮茶的每个瞬间都变有趣,福州市,休闲,100,33594,3359.40,马海亦,2018年08月19日
https://www.kaishiba.com/project/detail/id/708C74B4CC8B6916E050190AFD012246,入住率101，第五代酒店来袭，酒店「地王」捕手下一个爆款是？,成都市,民宿,107,5000007,5000.01,陈庆贵,2018年08月18日
https://www.kaishiba.com/project/detail/id/7168C8B69EE5EEEAE050190AFD010E99,疯辣，首创爆款“小熊锅底”，更是100万+火锅爱好者的聚集地,杭州市,餐饮,86,2766013,1383.01,张雷,2018年08月17日
https://www.kaishiba.com/project/detail/id/71A8A2AF833BE28FE050190AFD0147EA,全国第一家蛋雕主题客栈，在准5A景区铜官窑古镇内，等你来翻牌,长沙市,民宿,54,2175001,2175.00,黄晖,2018年08月17日
https://www.kaishiba.com/project/detail/id/7141313E6792D4C2E050190AFD010F7D,承包年游客收益13亿+的山头？「宿树」要领跑整个川北民宿,广元市,民宿,45,1743003,1743.00,邢程,2018年08月16日
https://www.kaishiba.com/project/detail/id/6FB199A90EB002B6E050190AFD012885,来自日本的阳光玫瑰，被称为葡萄界的爱马仕,杭州市,农业,38,133520,2670.40,程小平,2018年08月16日
https://www.kaishiba.com/project/detail/id/7039A2F23CC84E05E050190AFD011033,后海的老北京四合院+高端黑科技酒店，试营业入住率93%？,北京市,民宿,169,8448003,8448.00,钟铠臣,2018年08月15日
https://www.kaishiba.com/project/detail/id/70C5148CB62843ECE050190AFD011C95,你不是第二个谁，恒丽医美，让你做自己,杭州市,休闲,106,4473024,4473.02,郑慧佳,2018年08月15日
https://www.kaishiba.com/project/detail/id/72BF6CD227956157E050190AFD015B20,海南泰甜蜜，水果很好吃,陵水黎族自治县,农业,196,7280010,7280.01,苏志宏,2018年08月15日
https://www.kaishiba.com/project/detail/id/71D072C568F0B18DE050190AFD014FB9,1年卖1.5亿的优质床品，正在掀起“裸睡风暴”,宁波市,休闲,230,3864346,77286.92,王治全,2018年08月15日
https://www.kaishiba.com/project/detail/id/6E5F2E61DA13F734E050190AFD0163F0,这个可以触摸天堂的地方，藏着接待率90%的秘密,迪庆藏族自治州,休闲,23,755005,755.00,和魁红,2018年08月14日
https://www.kaishiba.com/project/detail/id/6E6F527B66E4A6C5E050190AFD013E21,27年餐饮老炮打造的火锅王国，用特色龙虾锅征服你,北京市,餐饮,83,2412503,2412.50,郑赏爽,2018年08月14日
https://www.kaishiba.com/project/detail/id/71E3194501450A4CE050190AFD011E88,「三勒浆小绿瓶」全网首发，曾经的备考神器，现在的疲劳救星,成都市,休闲,135,1226902,61345.10,陈奕帆,2018年08月12日
https://www.kaishiba.com/project/detail/id/728494433901B904E050190AFD011350,用24个塑料瓶做的包包这么潮？连可口可乐壹基金都来了！,徐汇区,休闲,208,41705,834.10,黄宁宁,2018年08月11日
https://www.kaishiba.com/project/detail/id/71B87BDDDF36DDD5E050190AFD01159C,他土法养蟹34年，送到你餐桌上的大闸蟹，只只膏满肉肥,苏州市,农业,118,29311,586.22,鲍建康,2018年08月11日
https://www.kaishiba.com/project/detail/id/708F6FB60E5BDE3EE050190AFD012A80,除了西子湖畔，西湖区居然还藏着城市最近的农耕生活,杭州市,民宿,101,2745011,2745.01,傅丽萍,2018年08月10日
https://www.kaishiba.com/project/detail/id/6F97CA402B597333E050190AFD011648,一站式人宠互动王国，打造宠物书咖新模式,杭州市,休闲,46,690826,6908.26,林敏,2018年08月10日
https://www.kaishiba.com/project/detail/id/711610A685518C5BE050190AFD01616E,《世间所有的无眠，都是因为睡错了风景》,杭州市,休闲,751,44426,14808.67,夏雨清,2018年08月10日
https://www.kaishiba.com/project/detail/id/6FB2A7D5FF8E3DD2E050190AFD01566D,轻奢精品连锁酒店维也纳，给你在拉萨安了一个家,拉萨市,酒店,42,2541001,2541.00,王书瑞,2018年08月09日
https://www.kaishiba.com/project/detail/id/6C9F2FB229517434E050190AFD01168D,3年300+门店，单日营业额突破7万，九田家烧肉魔都新选择,浦东新区,餐饮,58,3360002,6720.00,杨安,2018年08月09日
https://www.kaishiba.com/project/detail/id/7141F9B75F7A03E8E050190AFD0133AF,在重新定义成都生活方式的太古里，私飨正打造着川菜之美,成都市,餐饮,121,3150001,3150.00,姚舒,2018年08月08日
https://www.kaishiba.com/project/detail/id/6F20E48FBF3F6297E050190AFD011C38,270°的稻田、山水一色的湖泊、睡进理想生活的床，在青丘,文山壮族苗族自治州,民宿,97,4740018,4740.02,柯有锐,2018年08月08日
